# Constructed from biom file
#OTU ID	recip.220.WT.OB1.D7	recip.290.ASO.OB2.D1	recip.389.WT.HC2.D21	recip.391.ASO.PD2.D14	recip.391.ASO.PD2.D21	recip.391.ASO.PD2.D7	recip.400.ASO.HC2.D14	recip.401.ASO.HC2.D7	recip.403.ASO.PD2.D21	recip.411.ASO.HC2.D14	recip.411.ASO.HC2.D21	recip.411.ASO.HC2.D49	recip.412.ASO.HC2.D14	recip.412.ASO.HC2.D7	recip.413.WT.HC2.D7	recip.456.ASO.HC3.D49	recip.458.ASO.HC3.D21	recip.458.ASO.HC3.D49	recip.459.WT.HC3.D14	recip.459.WT.HC3.D21	recip.459.WT.HC3.D49	recip.460.WT.HC3.D14	recip.460.WT.HC3.D21	recip.460.WT.HC3.D7	recip.461.ASO.HC3.D21	recip.461.ASO.HC3.D49	recip.461.ASO.HC3.D7	recip.462.WT.PD3.D14	recip.462.WT.PD3.D21	recip.462.WT.PD3.D49	recip.462.WT.PD3.D7	recip.463.WT.PD3.D14	recip.463.WT.PD3.D21	recip.463.WT.PD3.D7	recip.464.WT.PD3.D14	recip.465.ASO.PD3.D14	recip.465.ASO.PD3.D7	recip.466.ASO.PD3.D7	recip.467.WT.HC3.D49.a	recip.467.WT.HC3.D49.b	recip.536.ASO.PD4.D49	recip.537.WT.PD4.D21	recip.538.WT.PD4.D21	recip.539.ASO.PD4.D14	recip.539.ASO.PD4.D7	recip.540.ASO.HC4.D14	recip.540.ASO.HC4.D7
f8f3e605678a490b72cab74f3fc2c52b	19.0	58.0	53.0	19.0	31.0	45.0	23.0	41.0	29.0	51.0	106.0	41.0	67.0	10.0	13.0	99.0	103.0	46.0	0.0	34.0	0.0	13.0	0.0	47.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48d9883fd871b82d9bbc89cb0447be8c	7.0	8.0	8.0	33.0	62.0	91.0	9.0	16.0	12.0	0.0	27.0	10.0	54.0	93.0	105.0	11.0	86.0	49.0	0.0	117.0	0.0	34.0	13.0	65.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ad52a0f6646c574417ce0b13b84acfa9	4.0	0.0	43.0	132.0	144.0	39.0	60.0	70.0	18.0	57.0	19.0	84.0	47.0	55.0	16.0	65.0	9.0	6.0	0.0	12.0	0.0	6.0	0.0	23.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dafe809740d0545dc25c6939a84a1820	0.0	0.0	5.0	0.0	5.0	39.0	9.0	16.0	9.0	21.0	5.0	0.0	20.0	22.0	25.0	10.0	15.0	5.0	17.0	18.0	18.0	0.0	34.0	23.0	22.0	12.0	14.0	32.0	16.0	25.0	102.0	26.0	17.0	67.0	28.0	29.0	85.0	16.0	0.0	40.0	12.0	12.0	18.0	16.0	26.0	21.0	10.0
eea6b86c0c75e740670ccc50613b1b23	30.0	72.0	0.0	0.0	60.0	16.0	38.0	0.0	0.0	75.0	211.0	58.0	16.0	0.0	11.0	120.0	30.0	63.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59196a586276f0be745d0e334fc071c6	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185.0	0.0	333.0	0.0	272.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ad7bc2bb6e1ec90a9bc3c8949bce80d6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	61.0	0.0	0.0	35.0	0.0	0.0	38.0	20.0	0.0	0.0	0.0	24.0	14.0	17.0	461.0	0.0	98.0
4311a44a7d56ce4086afad3e75bedd6e	0.0	0.0	18.0	14.0	0.0	11.0	0.0	9.0	8.0	0.0	17.0	0.0	7.0	0.0	0.0	58.0	9.0	80.0	18.0	33.0	20.0	0.0	7.0	13.0	0.0	0.0	0.0	59.0	4.0	10.0	146.0	16.0	12.0	38.0	26.0	0.0	10.0	8.0	15.0	18.0	9.0	0.0	11.0	0.0	0.0	10.0	0.0
cc968157f7691aab95df444e8cd103e2	8.0	0.0	0.0	38.0	0.0	8.0	18.0	6.0	0.0	15.0	23.0	20.0	26.0	13.0	0.0	7.0	9.0	6.0	16.0	33.0	19.0	10.0	14.0	0.0	13.0	15.0	0.0	7.0	23.0	13.0	9.0	23.0	7.0	0.0	12.0	61.0	3.0	0.0	14.0	17.0	38.0	6.0	26.0	24.0	11.0	28.0	22.0
3f55a8ca784ae7190790023a30cd859c	0.0	0.0	0.0	0.0	0.0	17.0	0.0	24.0	0.0	0.0	0.0	16.0	0.0	111.0	66.0	25.0	0.0	61.0	0.0	27.0	0.0	13.0	0.0	141.0	0.0	0.0	138.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
